console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,total_sales_outlier,na_sales_outlier,jp_sales_outlier,pal_sales_outlier,other_sales_outlier,sales_cluster,log_sales,total_sales_minmax,na_sales_minmax,jp_sales_minmax,pal_sales_minmax,other_sales_minmax,critic_score_zscore,release_year,release_year_bin,na_ratio,jp_ratio,pal_ratio,other_ratio,has_regional_data,publisher_game_count,developer_game_count
DS,ACTION,KONAMI,KONAMI,7.5,0.06,0.05,0.0,0.0,0.0,2005-11-01,0,0,0,0,0,2,0.05826890812397577,0.0030978934324659233,0.005122950819672132,0.0,0.0,0.0,0.12180651366298145,2005.0,era_2,0.8333333333333334,0.0,0.0,0.0,1,372,198
WII,ACTION,VIR2L STUDIOS,N-FUSION INTERACTIVE,7.5,0.16,0.14,0.0,0.01,0.01,2009-10-20,0,0,0,0,0,0,0.1484200051182733,0.009293680297397772,0.01434426229508197,0.0,0.0014556040756914118,0.004065040650406504,0.12180651366298145,2009.0,era_3,0.8750000000000001,0.0,0.0625,0.0625,1,2,1
WII,ACTION,BANDAI,BANDAI,7.5,0.01,0.0,0.01,0.0,0.0,2007-11-22,0,0,0,0,0,0,0.009950330853168083,0.0,0.0,0.004694835680751174,0.0,0.0,0.12180651366298145,2007.0,era_2,0.0,1.0,0.0,0.0,1,71,28
GBA,ACTION,ATARI,ATARI GAMES,7.5,0.3,0.21,0.0,0.08,0.01,2003-12-02,0,0,0,0,0,2,0.262364264467491,0.017967781908302356,0.02151639344262295,0.0,0.011644832605531294,0.004065040650406504,0.12180651366298145,2003.0,era_1,0.7,0.0,0.26666666666666666,0.03333333333333333,1,155,4
NS,ACTION,WARNER BROS. INTERACTIVE ENTERTAINMENT,TRAVELLER'S TALES,6.5,0.63,0.35,0.01,0.21,0.06,2018-06-15,0,0,0,1,0,0,0.48858001481867097,0.038413878562577455,0.035860655737704916,0.004694835680751174,0.030567685589519646,0.024390243902439022,-1.358608521671019,2018.0,era_5,0.5555555555555555,0.015873015873015872,0.3333333333333333,0.09523809523809523,1,75,79
PSP,ACTION,KOEI,OMEGA FORCE,7.5,0.05,0.0,0.05,0.0,0.0,2009-10-22,0,0,0,0,0,0,0.048790164169432,0.002478314745972739,0.0,0.02347417840375587,0.0,0.0,0.12180651366298145,2009.0,era_3,0.0,1.0,0.0,0.0,1,82,80
XB,ACTION,EIDOS INTERACTIVE,CRYSTAL DYNAMICS,8.3,0.13,0.1,0.0,0.03,0.0,2006-04-11,0,0,0,0,0,0,0.12221763272424921,0.007434944237918217,0.010245901639344263,0.0,0.004366812227074236,0.0,1.306138541930183,2006.0,era_2,0.7692307692307693,0.0,0.23076923076923075,0.0,1,83,18
PS,ACTION,KEMCO,KEMCO,7.5,0.17,0.09,0.0,0.06,0.01,2000-11-20,0,0,0,0,0,0,0.15700374880966478,0.009913258983890958,0.009221311475409836,0.0,0.008733624454148471,0.004065040650406504,0.12180651366298145,2000.0,era_1,0.5294117647058822,0.0,0.3529411764705882,0.058823529411764705,1,17,5
PS4,ACTION,CAPCOM,CAPCOM,7.5,0.57,0.14,0.11,0.25,0.07,2015-02-24,0,0,1,1,0,0,0.4510756193602166,0.03469640644361834,0.01434426229508197,0.051643192488262914,0.036390101892285295,0.02845528455284553,0.12180651366298145,2015.0,era_5,0.24561403508771934,0.1929824561403509,0.4385964912280702,0.12280701754385967,1,219,155
PS3,ACTION,SQUARE ENIX,EIDOS MONTREAL,7.5,0.37,0.1,0.03,0.19,0.06,2014-02-25,0,0,0,0,0,0,0.31481073984003355,0.02230483271375465,0.010245901639344263,0.014084507042253521,0.027656477438136824,0.024390243902439022,0.12180651366298145,2014.0,era_5,0.2702702702702703,0.08108108108108109,0.5135135135135135,0.16216216216216217,1,104,3
NS,ACTION,KOEI TECMO,OMEGA FORCE,7.0,0.23,0.12,0.08,0.02,0.02,2018-03-20,0,0,1,0,0,0,0.20701416938432615,0.013630731102850065,0.012295081967213115,0.03755868544600939,0.0029112081513828236,0.008130081300813007,-0.6184010040040188,2018.0,era_5,0.5217391304347826,0.34782608695652173,0.08695652173913043,0.08695652173913043,1,13,80
PC,ACTION,ALAWAR ENTERTAINMENT,BIG FISH GAMES,7.5,0.02,0.0,0.0,0.02,0.0,2015-08-07,0,0,0,0,0,0,0.019802627296179712,0.0006195786864931847,0.0,0.0,0.0029112081513828236,0.0,0.12180651366298145,2015.0,era_5,0.0,0.0,1.0,0.0,1,2,9
XB,ACTION,ACCLAIM ENTERTAINMENT,ACCLAIM ENTERTAINMENT,7.5,0.05,0.04,0.0,0.01,0.0,2003-11-05,0,0,0,0,0,0,0.048790164169432,0.002478314745972739,0.004098360655737705,0.0,0.0014556040756914118,0.0,0.12180651366298145,2003.0,era_1,0.7999999999999999,0.0,0.19999999999999998,0.0,1,101,17
GBA,ACTION,NINTENDO,CAPCOM,6.1,0.22,0.16,0.0,0.06,0.0,2002-08-13,0,0,0,0,0,3,0.1988508587451652,0.01301115241635688,0.01639344262295082,0.0,0.008733624454148471,0.0,-1.9507745358046198,2002.0,era_1,0.7272727272727273,0.0,0.2727272727272727,0.0,1,189,155
XONE,ACTION,MICROSOFT STUDIOS,INSOMNIAC GAMES,8.0,1.16,0.64,0.0,0.42,0.1,2014-10-28,1,1,0,1,1,0,0.7701082216960736,0.07125154894671623,0.06557377049180328,0.0,0.06113537117903929,0.04065040650406504,0.8620140313299818,2014.0,era_5,0.5517241379310346,0.0,0.3620689655172414,0.08620689655172414,1,18,6
PC,ACTION,BIG FISH GAMES,BIG FISH GAMES,7.5,0.01,0.0,0.0,0.01,0.0,2015-05-08,0,0,0,0,0,0,0.009950330853168083,0.0,0.0,0.0,0.0014556040756914118,0.0,0.12180651366298145,2015.0,era_5,0.0,0.0,1.0,0.0,1,5,9
PSV,ACTION,IDEA FACTORY,UNKNOWN,7.5,0.03,0.0,0.03,0.0,0.0,2016-10-06,0,0,0,0,0,0,0.0295588022415444,0.0012391573729863693,0.0,0.014084507042253521,0.0,0.0,0.12180651366298145,2016.0,era_5,0.0,1.0,0.0,0.0,1,90,191
PS4,ACTION,VILLA GORILLA,VILLA GORILLA,9.0,0.01,0.01,0.0,0.0,0.0,2018-06-19,0,0,0,0,0,0,0.009950330853168083,0.0,0.0010245901639344263,0.0,0.0,0.0,2.3424290666639824,2018.0,era_5,1.0,0.0,0.0,0.0,1,2,2
2600,ACTION,MYSTIQUE,MYSTIQUE,7.5,0.82,0.76,0.0,0.05,0.01,1982-01-01,0,1,0,0,0,2,0.598836501088704,0.05018587360594796,0.0778688524590164,0.0,0.00727802037845706,0.004065040650406504,0.12180651366298145,1982.0,era_1,0.926829268292683,0.0,0.06097560975609757,0.012195121951219513,1,1,1
PS,ACTION,3DO,3DO,7.5,0.24,0.14,0.0,0.09,0.02,2000-11-21,0,0,0,0,0,0,0.2151113796169455,0.014250309789343248,0.01434426229508197,0.0,0.013100436681222705,0.008130081300813007,0.12180651366298145,2000.0,era_1,0.5833333333333334,0.0,0.375,0.08333333333333334,1,14,13
3DS,ACTION,NINTENDO,NINTENDO EAD,5.6,0.5,0.31,0.05,0.1,0.04,2011-03-27,0,0,0,0,0,3,0.4054651081081644,0.030359355638166052,0.031762295081967214,0.02347417840375587,0.01455604075691412,0.016260162601626015,-2.69098205347162,2011.0,era_4,0.62,0.1,0.2,0.08,1,189,9
PS2,ACTION,NAMCO,NAMCO,7.5,0.08,0.04,0.0,0.03,0.01,2005-09-13,0,0,0,0,0,0,0.07696104113612832,0.004337050805452294,0.004098360655737705,0.0,0.004366812227074236,0.004065040650406504,0.12180651366298145,2005.0,era_2,0.5,0.0,0.375,0.125,1,89,53
PSV,ACTION,NAMCO BANDAI,ACQUIRE,7.5,0.16,0.05,0.02,0.06,0.03,2012-02-21,0,0,0,0,0,0,0.1484200051182733,0.009293680297397772,0.005122950819672132,0.009389671361502348,0.008733624454148471,0.012195121951219511,0.12180651366298145,2012.0,era_4,0.3125,0.125,0.375,0.1875,1,153,14
PSP,ACTION,LUCASARTS,KROME STUDIOS,7.1,1.09,0.43,0.0,0.41,0.24,2008-09-16,1,0,0,1,1,0,0.7371640659767197,0.06691449814126395,0.04405737704918033,0.0,0.05967976710334788,0.09756097560975609,-0.4703595004706193,2008.0,era_3,0.39449541284403666,0.0,0.37614678899082565,0.2201834862385321,1,72,24
PS3,ACTION,KONAMI,UNKNOWN,7.5,0.07,0.0,0.07,0.0,0.0,2011-12-22,0,0,1,0,0,0,0.06765864847381481,0.003717472118959109,0.0,0.03286384976525822,0.0,0.0,0.12180651366298145,2011.0,era_4,0.0,1.0,0.0,0.0,1,372,191
