console,genre,total_sales_mean,total_sales_median,total_sales_std,total_sales_count,na_sales_mean,jp_sales_mean,pal_sales_mean,other_sales_mean,critic_score_mean
XOne,Action-Adventure,0.864,0.43,1.401,16,0.525,0.001,0.261,0.078,7.456
XOne,Adventure,0.146,0.05,0.226,14,0.089,0.0,0.045,0.013,7.5
XOne,Fighting,0.268,0.14,0.266,9,0.192,0.001,0.05,0.026,7.5
XOne,Misc,0.144,0.08,0.115,7,0.107,0.0,0.024,0.016,7.5
XOne,Music,0.435,0.455,0.274,8,0.306,0.0,0.085,0.042,7.762
XOne,Platform,0.181,0.16,0.15,10,0.115,0.0,0.05,0.017,7.4
XOne,Puzzle,0.08,0.05,0.07,3,0.06,0.0,0.013,0.01,7.5
XOne,Racing,0.364,0.095,0.595,28,0.182,0.001,0.151,0.031,7.671
XOne,Role-Playing,0.62,0.06,1.246,17,0.38,0.001,0.182,0.056,7.476
XOne,Shooter,1.359,0.7,1.645,37,0.85,0.003,0.382,0.125,7.662
XOne,Simulation,0.154,0.06,0.218,11,0.095,0.0,0.043,0.015,7.5
XOne,Sports,0.711,0.215,0.981,34,0.416,0.0,0.23,0.064,7.662
XOne,Strategy,0.026,0.02,0.019,5,0.026,0.0,0.0,0.002,7.5
